ivestas_pavadinimas,ivestas_kodas,rastas_pavadinimas,kodas,kodo_atitikimas,amzius,starto_data,vadovas,adresas,mobilus_telefonas,tinklalapis
"VšĮ ""Veiklų erdvė""",305236071,"Veiklų erdvė, VšĮ",305236071,TAIP,6 metai 7 mėnesiai,2019-08-23,"Dovilė Klimavičienė, direktorė","Liutauro aklg. 12-2, Kaunas",+370 601 17523,
"VšĮ ""Noriu augti""",305236064,"Noriu augti, VšĮ",305236064,TAIP,6 metai 7 mėnesiai,2019-08-23,"Edita Jurkonytė, direktorė","Vytauto pr. 43A-65, Kaunas",+370 686 44212,
"VšĮ ""Po vienu stogu""",305236025,"Po vienu stogu, VšĮ",305236025,TAIP,6 metai 7 mėnesiai,2019-08-23,"Rima Bocisienė, direktorė","Panemunės g. 17, Neravų k., Druskininkai",+370 618 13644,
VšĮ Skaitmeninės etikos centras,305234985,"Skaitmeninės etikos centras, VšĮ",305234985,TAIP,6 metai 7 mėnesiai 1 diena,2019-08-22,"Rasa Jauniškienė, direktorė","Draustinio g. 7, Bajorų k., LT-14182 Vilniaus r.",+370 686 98686,
VšĮ Gerovės paslaugų centras,305234978,"Gerovės paslaugų centras, VšĮ",305234978,TAIP,6 metai 7 mėnesiai 1 diena,2019-08-22,"Audronė Svetlovienė, direktorė","Smėlio g. 3, Didvyrių k., Kauno r.",+370 618 33115,
"Raudonės bendruomenė ""Žiburys""",305233883,"Raudonės bendruomenė ""Žiburys""",305233883,TAIP,6 metai 7 mėnesiai 1 diena,2019-08-22,,"Kaštonų g. 2, Raudonė, LT-74454 Jurbarko r.",+370 675 29151,www.raudone.lt
VšĮ Sostinės badmintono klubas,305232450,"Sostinės badmintono klubas, VšĮ",305232450,TAIP,6 metai 7 mėnesiai 1 diena,2019-08-22,"Sergej Leonovič, direktorius","Vytauto Vaitkaus g. 5-36, LT-04332 Vilnius",+370 614 20840,http://sbklion.lt
"Karpininkų klubas ""Sūduva""",305232361,"Karpininkų klubas ""Sūduva""",305232361,TAIP,6 metai 7 mėnesiai 2 dienos,2019-08-21,,"Krėvos g. 29, Triobiškių k., Marijampolė",+370 343 98389,
Teisės ir psichologijos institutas,305232297,Teisės ir psichologijos institutas,305232297,TAIP,6 metai 7 mėnesiai 2 dienos,2019-08-21,,"V. Kudirkos g. 38-22, LT-28231 Utena",+370 609 84047,
"Asociacija ""Poliarinės ekspedicijos""",305232087,"Poliarinės ekspedicijos, asociacija",305232087,TAIP,,2019-08-20,,"Užupio g. 3-10, Vilnius",,
"Sporto klubas ""Domenas""",305231850,"Sporto klubas ""Domenas""",305231850,TAIP,6 metai 7 mėnesiai 2 dienos,2019-08-21,"Darius Labanauskas, prezidentas","Pagirių g. 34A, Pagirių k., Kauno r.",+370 618 78847,
"VšĮ ""Valdymo menas""",305231804,"Valdymo menas, VšĮ",305231804,TAIP,6 metai 7 mėnesiai 2 dienos,2019-08-21,,"A. Mackevičiaus g. 33-27, LT-86127 Kelmė",+370 614 98911,
"VšĮ ""Smagus turas""",305231448,"SMAGUS TURAS, VšĮ",305231448,TAIP,6 metai 7 mėnesiai 4 dienos,2019-08-19,"Paulius Ragauskas, direktorius","Beržų g. 6, LT-21111 Trakai",+370 605 53069,http://www.ratrace.lt
VšĮ BALZEKAS TENNIS,305229956,"BALZEKAS TENNIS, VšĮ",305229956,TAIP,6 metai 7 mėnesiai 6 dienos,2019-08-19,Inga Balžekienė,"Vlado Mirono g. 6D, Vilnius",+370 651 17407,https://balzekastennis.lt
"SKUODO KRAŠTO BENDRUOMENĖ ""BARTUVA""",305229924,"Skuodo krašto bendruomenė ""Bartuva""",305229924,TAIP,,2019-08-16,,"Algirdo g. 6-5, Skuodas",,
Lietuvos hapkido federacija,305229881,Lietuvos hapkido federacija,305229881,TAIP,6 metai 7 mėnesiai 4 dienos,2019-08-19,"Vygantas Pundzevičius, prezidentas","V. Nagevičiaus g. 3, LT-08237 Vilnius",+370 655 00155,
"VšĮ ""Fotografinės peržiūros""",305229760,"Fotografinės peržiūros, VšĮ",305229760,TAIP,6 metai 7 mėnesiai 3 dienos,2019-08-20,"Eugenijus Barzdžius, direktorius","Kulmenų k. 6, Kulmenų k., LT-99239 Pagėgiai",+370 633 58822,
"VšĮ Futbolo mokykla ""Perkūnas""",305229671,"Futbolo mokykla ""Perkūnas"", VšĮ",305229671,TAIP,6 metai 7 mėnesiai 4 dienos,2019-08-19,"Egidijus Juška, direktorius","Justiniškių g. 126D, LT-05268 Vilnius",+370 698 70093,
"VšĮ ""Septyni liūtai""",305229550,"Septyni liūtai, VšĮ",305229550,TAIP,6 metai 7 mėnesiai 7 dienos,2019-08-16,"Marius Santockis, direktorius","Spaustuvininkų g. 11A-5, Kaunas",+370 648 57771,
"Klubas ""Nėra laiko""",305229479,"Klubas ""Nėra laiko""",305229479,TAIP,6 metai 7 mėnesiai 9 dienos,2019-08-14,Mantas Rekštys,"Ryšininkų g. 4-16, Klaipėda",+370 641 65802,
Lietuvos katamaranų jachtų asociacija,305229212,Lietuvos katamaranų jachtų asociacija,305229212,TAIP,6 metai 7 mėnesiai 7 dienos,2019-08-16,,"Prano Noreikos g. 16, Elektrėnai",+370 683 43278,
"Sena gera, VšĮ",305227745,"Sena gera, VšĮ",305227745,TAIP,,2019-08-13,,"Salomėjos Nėries g. 99-70, Vilnius",,
"Viešoji įstaiga ""Rado - rodo""",305227713,"Rado-Rodo, VšĮ",305227713,TAIP,6 metai 7 mėnesiai 10 dienų,2019-08-13,"Barbara Gžibovska, direktorė","Odminių g. 8, Vilnius",+370 671 43272,
"Gyvenamųjų vienbučių ir dvibučių namų savininkų bendrija ""Pavilnio miestelis""",305226718,"Gyvenamųjų vienbučių ir dvibučių namų savininkų bendrija ""Pavilnio miestelis""",305226718,TAIP,6 metai 7 mėnesiai 10 dienų,2019-08-13,,"Jurgio Šlapelio g. 6-1, LT-11321 Vilnius",+370 699 48787,
"Labdaros ir paramos fondas ""Žmogaus namai""",305226682,"Žmogaus namai, labdaros ir paramos fondas",305226682,TAIP,6 metai 7 mėnesiai 11 dienų,2019-08-12,"Daiva Žeimytė-Bilienė, direktorė","Upinės g. 12, Vilnius",+370 614 57472,
"Viešoji įstaiga ""Gyvenimo būdas""",305226629,"Gyvenimo būdas, VšĮ",305226629,TAIP,6 metai 7 mėnesiai 11 dienų,2019-08-12,,"V. Nagevičiaus g. 3, Vilnius",,
"VšĮ ""Elektrėnų šauliai""",305226586,"Elektrėnų šauliai, VšĮ",305226586,TAIP,6 metai 7 mėnesiai 14 dienų,2019-08-09,,"Vilties g. 24-46, Rokiškis",+370 650 32278,
"VšĮ ""Dilaima""",305226579,"Dilaima, VšĮ",305226579,TAIP,6 metai 7 mėnesiai 14 dienų,2019-08-09,,"Algirdo g. 43, Alksniupių k., Radviliškio r.",,
"Automobilių sporto klubas ""Benetito autosportas"", VšĮ",305226497,"Automobilių sporto klubas ""Benetito autosportas"", VšĮ",305226497,TAIP,6 metai 7 mėnesiai 14 dienų,2019-08-09,"Tomas Benetis, direktorius","Malūnininkų g. 1-55, LT-92264 Klaipėda",+370 686 86478,
"Namų savininkų bendrija ""Naujoji Anglija Vilniuje""",305226401,"Namų savininkų bendrija ""Naujoji Anglija Vilniuje""",305226401,TAIP,6 metai 7 mėnesiai 15 dienų,2019-08-08,"Andrius Velička, pirmininkas","Mozūriškių g. 156-3, LT-06298 Vilnius",-,
"VšĮ ""Pelėdų siekiai""",305225178,"Pelėdų siekiai, VšĮ",305225178,TAIP,6 metai 7 mėnesiai 15 dienų,2019-08-08,"Zenona Grigaitienė, direktorė","Saulės g. 71, Urvikių k., Mažeikių r.",+370 611 11285,
"VšĮ ""Varnų sala""",305225071,"Varnų sala, VšĮ",305225071,TAIP,6 metai 7 mėnesiai 16 dienų,2019-08-07,,"V. Nagevičiaus g. 3, LT-08237 Vilnius",+370 606 68611,http://varnusala.lt
"VšĮ ""Guvus""",305224788,"Guvus, VšĮ",305224788,TAIP,6 metai 7 mėnesiai 14 dienų,2019-08-09,"Paulius Šaparnis, direktorius","Tiekimo g. 4, LT-35289 Panevėžys",+370 618 45210,
"Asociacija ""Šaltmiros gyvenimo mokykla""",305224051,"Šaltmiros gyvenimo mokykla, asociacija",305224051,TAIP,6 metai 7 mėnesiai 16 dienų,2019-08-07,"Eglė Tamulytė, prezidentas","J. Jablonskio g. 3, Griškabūdis, Šakių r.",+370 686 66796,http://gyvenimo-mokykla.com
"VšĮ ""Laisvalaikis Šilutėje""",305222520,"Laisvalaikis Šilutėje, VšĮ",305222520,TAIP,6 metai 7 mėnesiai 21 diena,2019-08-02,"Aurimas Zaremba, direktorius","Laisvės al. 5-42, Šilutė",+370 639 11028,
"VšĮ ""Simona Koncė""",305221913,"Simona Koncė, VšĮ",305221913,TAIP,6 metai 7 mėnesiai 21 diena,2019-08-02,Simona Koncyte,"Maironio g. 38-8, Kaunas",+370 684 12571,http://www.ourpockethero.com
"Labdaros ir paramos fondas ""Unikali karta""",305221888,"Unikali karta, labdaros ir paramos fondas",305221888,TAIP,6 metai 7 mėnesiai 21 diena,2019-08-02,Alina Torbejeva,"Kazio Bizausko g. 15C, Vilnius",+370 626 93466,
"Gyvenamųjų namų savininkų bendrija ""Pirmieji Smiltynai""",305221849,"Gyvenamųjų namų savininkų bendrija ""Pirmieji Smiltynai""",305221849,TAIP,6 metai 7 mėnesiai 16 dienų,2019-08-07,"Audrius Mikučiūnas, pirmininkas","Smėlio g. 25, Smiltynų I k., LT-54429 Kauno r.",+370 676 31003,
Lietuvos intervencinių radiologų asociacija,305221660,Lietuvos intervencinių radiologų asociacija,305221660,TAIP,6 metai 7 mėnesiai 18 dienų,2019-08-05,"Rytis Stasys Kaupas, prezidentas","Eivenių g. 2, Kaunas",+370 698 79289,
"VšĮ ""Atostogų vėjai""",305221404,"Atostogų vėjai, VšĮ",305221404,TAIP,6 metai 7 mėnesiai 22 dienos,2019-08-01,,"Veiverių g. 9B-62, Vilnius",+370 638 97073,http://www.atostoguvejai.lt/
Degučių sentikių pomorų religinė bendruomenė,305221393,Degučių sentikių pomorų religinė bendruomenė,305221393,TAIP,6 metai 7 mėnesiai 22 dienos,2019-08-01,"Rita Ciš, pirmininkas","Saulėtekio g. 38, Degučių k., LT-32232 Zarasų r.",+370 601 13960,
"Sveikatos stiprinimo ir sporto klubas ""GABARYTAS""",305220633,"Sveikatos stiprinimo ir sporto klubas ""Gabarytas""",305220633,TAIP,6 metai 7 mėnesiai 23 dienos,2019-07-31,"Miglė Ivanauskienė, prezidentas","Antakalnio g. 70-15, Ukmergė",+370 684 75140,
"VšĮ ""Codos projektai""",305219912,"Codos projektai, VšĮ",305219912,TAIP,6 metai 7 mėnesiai 24 dienos,2019-07-30,"Tomas Aleksandravičius, direktorius","Antrosios Melnragės g. 10A-23, Klaipėda",+370 615 79085,
"Panevėžio triatlono klubas ""TRI-Fun""",305219556,"Panevėžio triatlono klubas ""TRI-Fun""",305219556,TAIP,6 metai 7 mėnesiai 23 dienos,2019-07-31,"Alina Ranceva, pirmininkas","Parko g. 51-5, Panevėžys",+370 675 21077,
"VšĮ ""Artistų namai""",305219307,"Artistų namai, VšĮ",305219307,TAIP,6 metai 7 mėnesiai 22 dienos,2019-08-01,"Indrė Mickienė, direktorė","Stirnų g. 27-127, LT-08101 Vilnius",+370 679 88784,http://www.insiti.lt
"VšĮ ""Trys pelėdos""",305219079,"Trys pelėdos, VšĮ",305219079,TAIP,6 metai 7 mėnesiai 23 dienos,2019-07-31,"Indrė Pilypė, direktorė","Dvaro g. 1, Poškakaimio k., LT-75224 Šilalės r.",+370 662 48966,
"Asociacija ""Vaikystės svajonė""",305218187,"Vaikystės svajonė, asociacija",305218187,TAIP,6 metai 7 mėnesiai 25 dienos,2019-07-29,"Lina Milašauskienė, pirmininkas","Taikos g. 63D, LT-86160 Kelmė",+370 623 58535,
"VšĮ ""Minčių dėlionė""",305217466,"Minčių dėlionė, VšĮ",305217466,TAIP,6 metai 7 mėnesiai 29 dienos,2019-07-25,"Rūta Mikalauskaitė-Krūvelienė, direktorė","Universiteto g. 1U-2, Kaunas",+370 673 55960,
"Sporto klubas ""Automotomanija""",305217441,"Sporto klubas ""Automotomanija""",305217441,TAIP,6 metai 7 mėnesiai 30 dienų,2019-07-24,"Arnas Eidukaitis, prezidentas","R. Juknevičiaus g. 19-81, LT-68186 Marijampolė",+370 653 48971,http://dtm.lt/
Panevėžio Tango bendruomenė,305217384,Panevėžio Tango bendruomenė,305217384,TAIP,6 metai 7 mėnesiai 30 dienų,2019-07-24,"Arūnas Kavoliūnas, pirmininkas","Kniaudiškių g. 53-5, Panevėžys",+370 687 55521,
"Asociacija Bendruomeniniai šeimos namai ""Svajonė""",305217345,"Bendruomeniniai šeimos namai ""Svajonė"", asociacija",305217345,TAIP,6 metai 7 mėnesiai 27 dienos,2019-07-29,"Edita Kizlienė, pirmininkas","Vytauto g. 28, Joniškėlis, Pasvalio r.",+370 699 45565,
Lietuvos metrologijos asociacija,305217039,Lietuvos metrologijos asociacija,305217039,TAIP,6 metai 7 mėnesiai 25 dienos,2019-07-29,"Vida Martišienė, prezidentas","Neužmirštuolių g. 18-9, LT-04124 Vilnius",+370 685 69801,http://lmetra.lt
"VšĮ ""Per pikti, kad pasidžiaugtų""",305216987,"Per pikti, kad pasidžiaugtų, VšĮ",305216987,TAIP,6 metai 7 mėnesiai 29 dienos,2019-07-25,"Rimantė Šinkūnė, direktorė","Loretos Asanavičiūtės g. 38-164, LT-04313 Vilnius",+370 673 48772,
"VšĮ ""Pajūrio sportas""",305216834,"Pajūrio sportas, VšĮ",305216834,TAIP,6 metai 7 mėnesiai 29 dienos,2019-07-25,"Andrius Gudas, direktorius","Vilniaus g. 31-7, LT-97101 Kretinga",+370 607 14139,
"Labdaros ir paramos fondas ""Drugelio vaikas""",305216574,"Drugelio vaikas, labdaros ir paramos fondas",305216574,TAIP,6 metai 7 mėnesiai 30 dienų,2019-07-24,,"Perkūnkiemio g. 18-52, Vilnius",+370 687 73411,
"Šiaulių rajono neįgaliųjų ir senjorų asociacija ""Neužmirštuolė""",305216421,"Šiaulių rajono neįgaliųjų ir senjorų asociacija ""Neužmirštuolė""",305216421,TAIP,6 metai 8 mėnesiai,2019-07-23,"Irena Urbonavičienė, pirmininkas","Dirvonų k. 2, Dirvonų k., LT-80222 Šiaulių r.",+370 673 32399,
"Asociacija ""Laikas sportuoti""",305216154,"Laikas sportuoti, asociacija",305216154,TAIP,6 metai 7 mėnesiai 29 dienos,2019-07-25,"Vytautas Čepanonis, prezidentas","Molainių g. 82-42, LT-37152 Panevėžys",+370 662 48605,
"Individualių gyvenamųjų namų savininkų bendrija ""Radailių namai""",305216019,"Individualių gyvenamųjų namų savininkų bendrija ""Radailių namai""",305216019,TAIP,6 metai 8 mėnesiai,2019-07-23,"Jolanta Žebelienė, pirmininkas","Sodų g. 14, Radailių k., LT-92406 Klaipėdos r.",+370 671 37717,
"VšĮ ""Pagarbi tėvystė""",305215013,"Pagarbi Tėvystė, VšĮ",305215013,TAIP,6 metai 8 mėnesiai 5 dienos,2019-07-18,,"Radvilų Dvaro g. 4-1, Kaunas",-,
"Labdaros ir paramos fondas ""Laimingas bilietas""",305214833,"Laimingas bilietas, labdaros ir paramos fondas",305214833,TAIP,,2019-07-24,,"Perkūnkiemio g. 18-52, Vilnius",,
"VšĮ ""Tango kultūros erdvė""",305214573,"Tango kultūros erdvė, VšĮ",305214573,TAIP,6 metai 8 mėnesiai 1 diena,2019-07-22,"Milda Balandytė, direktorė","Draugystės g. 17-1, LT-51229 Kaunas",+370 652 05898,
VšĮ Kūrybiškumo Akceleratorius,305214541,"Kūrybiškumo Akceleratorius, VšĮ",305214541,TAIP,6 metai 8 mėnesiai 3 dienos,2019-07-22,"Ieva Marija Matulionytė, direktorė","Krivių g. 12, Vilnius",+370 618 86914,https://www.vivitalithuania.com/
"Viešoji įstaiga ""Jungtinės pajėgos""",305214388,"Jungtinės pajėgos, VšĮ",305214388,TAIP,6 metai 8 mėnesiai 7 dienos,2019-07-18,Vaida Marcinkevičienė,"Liepų g. 4, Puskelnių k., LT-68102 Marijampolė",+370 681 11147,http://www.jf.lt
Lietuvos Dirbtinio Intelekto Asociacija,305213418,Lietuvos dirbtinio intelekto asociacija,305213418,TAIP,6 metai 8 mėnesiai 6 dienos,2019-07-17,,"Sakalų g. 22-41, LT-03226 Vilnius",+370 603 18707,https://lithuania.ai/
"VšĮ ""Užimtumo namai""",305213343,"Užimtumo namai, VšĮ",305213343,TAIP,6 metai 8 mėnesiai,2019-07-23,Aurelijus Deviatnikovas,"Vilniaus g. 87A, LT-20170 Ukmergė",+370 611 55986,
"Kaugonių krašto bendruomenė ""Bendrystė""",305213012,"Kaugonių krašto bendruomenė ""Bendrystė""",305213012,TAIP,6 metai 8 mėnesiai 5 dienos,2019-07-18,"Nijolė Sedleckaitė, pirmininkas","Šilų g. 67, Kaugonių k., LT-56443 Kaišiadorių r.",+370 685 56707,
"Labdaros ir paramos fondas ""Pasitikiu""",305212437,"Labdaros ir paramos fondas ""Pasitikiu""",305212437,TAIP,6 metai 8 mėnesiai 7 dienos,2019-07-16,Vilma Tarvydienė,"Z. Kanevičienės g. 9, Panevėžys",+370 653 47046,
"Sporto klubas ""Kengūros šuolis""",305212405,"Sporto klubas ""Kengūros šuolis""",305212405,TAIP,6 metai 8 mėnesiai 7 dienos,2019-07-16,"Žaneta Galinytė, pirmininkas","Lauko g. 28-43, LT-70186 Vilkaviškis",+370 659 82426,
"Gyvenamųjų namų savininkų bendrija ""Klausmyliai""",305211335,"Gyvenamųjų namų savininkų bendrija ""Klausmyliai""",305211335,TAIP,6 metai 8 mėnesiai 7 dienos,2019-07-16,,"Inkų g. 21, Klausmylių vs., Klaipėdos r.",+370 677 92626,
"VšĮ ""Judesys pirmyn""",305211253,"Judesys pirmyn, VšĮ",305211253,TAIP,6 metai 8 mėnesiai 8 dienos,2019-07-15,"Rapolas Žeimys, direktorius","Gandrų g. 21, Vieštovėnų k., Plungės r.",+370 612 28888,
Asociacija Kauno forumas,305211157,Asociacija Kauno forumas,305211157,TAIP,6 metai 8 mėnesiai 8 dienos,2019-07-15,Algimantas Rusteika,"A. Mickevičiaus g. 6-532, LT-44313 Kaunas",+370 600 51335,https://kaunoforumas.com
"Dviračių sporto klubas ""Minu""",305210710,"Dviračių sporto klubas ""Minu""",305210710,TAIP,6 metai 8 mėnesiai 6 dienos,2019-07-17,Vilma Baltramaitė,"Raudondvario pl. 178-5, Kaunas",+370 603 30156,
Namo V. Nagevičiaus g. 2 Vilniuje savininkų bendrija,305210176,Namo V. Nagevičiaus g. 2 Vilniuje savininkų bendrija,305210176,TAIP,6 metai 8 mėnesiai 11 dienų,2019-07-12,Kęstutis Kasperavičius,"V. Nagevičiaus g. 2-33, LT-08237 Vilnius",+370 690 43815,
"Sporto klubas ""Irklo sesės""",305210016,"Sporto klubas ""Irklo sesės""",305210016,TAIP,6 metai 8 mėnesiai 12 dienų,2019-07-11,"Akvilė Ramanauskienė, direktorė","Žaliūkių g. 71-40, Šiauliai",+370 609 66112,
VšĮ Jaunųjų mokslininkų akademija,305209672,"Jaunųjų mokslininkų akademija, VšĮ",305209672,TAIP,6 metai 8 mėnesiai 14 dienų,2019-07-09,"Evelina Vitėnienė, direktorė","Šalčininkų g. 2-1, LT-02185 Vilnius",+370 670 89188,http://www.jmakademija.lt
Viešpaties ir Mergelės iš Mataros tarnaičių kongregacija,305209213,Viešpaties ir Mergelės iš Mataros tarnaičių kongregacija,305209213,TAIP,6 metai 8 mėnesiai 12 dienų,2019-07-11,,"Medžiotojų g. 20, LT-37176 Panevėžys",+370 669 35045,
"VšĮ kūrybinės dirbtuvės ""Laikas sau""",305208951,"Kūrybinės dirbtuvės ""Laikas sau"", VšĮ",305208951,TAIP,6 metai 8 mėnesiai 15 dienų,2019-07-08,Justė Pupelienė,"I.Kanto al. 13-22, LT-06213 Vilnius",+370 629 10871,
"Asociacija ""Labanoro švyturys""",305208816,"Labanoro švyturys, asociacija",305208816,TAIP,6 metai 8 mėnesiai 13 dienų,2019-07-10,"Virginija Cesiulienė, pirmininkas","Juodapurvio k. 3, Juodapurvio k., LT-18236 Švenčionių r.",+370 688 53949,
"VšĮ Psichologinės ir psichoterapinės pagalbos studija ""Nendrė""",305208061,"Psichologinės ir psichoterapinės pagalbos studija ""Nendrė"", VšĮ",305208061,TAIP,6 metai 8 mėnesiai 15 dienų,2019-07-08,,"Kalvarijų g. 160-84, Vilnius",+370 698 88838,
"Bendruomenė ""Vilties Šaltinis""",305207447,"Bendruomenė ""Vilties Šaltinis""",305207447,TAIP,,2019-07-05,,"Veisiejų g. 17, Druskininkai",,
Sajaus labdaros ir paramos fondas,305207365,Sajaus labdaros ir paramos fondas,305207365,TAIP,6 metai 8 mėnesiai 15 dienų,2019-07-08,"Oksana Mejerė, direktorė","Radviliškio g. 66-19, LT-76366 Šiauliai",+370 615 83988,
"Asociacija ""Pauliaus Petraičio projektai""",305207326,"Pauliaus Petraičio projektai, asociacija",305207326,TAIP,6 metai 8 mėnesiai 15 dienų,2019-07-08,"Paulius Petraitis, pirmininkas","Rasos g. 8-13, LT-57443 Kėdainiai",+370 678 73304,
Viliaus labdaros ir paramos fondas,305206384,Viliaus labdaros ir paramos fondas,305206384,TAIP,6 metai 8 mėnesiai 19 dienų,2019-07-04,"Simona Germonienė, direktorė","Kaimelės g. 14-2, LT-47222 Kaunas",+370 628 22915,
"VšĮ ""Garso kupolas""",305205396,"Garso kupolas, VšĮ",305205396,TAIP,6 metai 8 mėnesiai 20 dienų,2019-07-03,"Oleg Kovrikov, direktorius","Zofijos Gulevič g. 47, Vilnius",+370 659 90001,
"VšĮ ""Atomava""",305205236,"Atomava, VšĮ",305205236,TAIP,6 metai 8 mėnesiai 15 dienų,2019-07-08,"Anton Jevtiuchov, direktorius","Vilties g. 5A-1, LT-31118 Visaginas",+370 626 41011,
Laisvės partija,305205154,Laisvės partija,305205154,TAIP,6 metai 8 mėnesiai 15 dienų,2019-07-08,Tomas Vytautas Raskevičius,"Naugarduko g. 41-106, LT-03227 Vilnius",+370 665 30917,https://www.laisvespartija.lt
Santaros klinikų slaugos darbuotojų profesinė sąjunga,305204910,Santaros klinikų slaugos darbuotojų profesinė sąjunga,305204910,TAIP,6 metai 8 mėnesiai 18 dienų,2019-07-05,Mingaudas Busevičius,"Skroblų g. 25-1026, Vilnius",+370 656 91394,
"VšĮ ""Mažeikių sporto projektai""",305204903,VšĮ „Mažeikių sporto projektai“,305204903,TAIP,6 metai 8 mėnesiai 19 dienų,2019-07-04,Svajūnas Sidabras,"Liepų g. 6, Buknaičių k., LT-89310 Mažeikių r.",+370 443 45630,https://silverstars.lt/
"Klubas ""V8 LT""",305204885,"Klubas ""V8 LT""",305204885,TAIP,6 metai 8 mėnesiai 20 dienų,2019-07-03,,"Kęstučio g. 71-2, LT-44300 Kaunas",+370 698 88302,
"VšĮ ""Mažieji lazeriukai""",305204077,"Mažieji lazeriukai, VšĮ",305204077,TAIP,6 metai 8 mėnesiai 20 dienų,2019-07-03,"Ilona Mažonaitė, direktorė","Šermukšnių g. 28, Klaipėda",+370 685 70696,
"VšĮ ""Šypsena veide""",305203979,"Šypsena veide, VšĮ",305203979,TAIP,,2019-07-02,,"Varpų g. 8-25, Klaipėda",,
VSRC profesinė sąjunga,305203961,VSRC profesinė sąjunga,305203961,TAIP,6 metai 8 mėnesiai 21 diena,2019-07-02,,"Ateities g. 28, LT-06329 Vilnius",+370 638 43967,
"Šeimyna ""Jaukumo liepsnelė""",305203406,"Jaukumo liepsnelė, šeimyna",305203406,TAIP,6 metai 8 mėnesiai 22 dienos,2019-07-01,Lina Mockevičienė,"Lauko g. 19, Raudondvario k., LT-82213 Radviliškio r.",+370 677 59003,
"Daugiabučio gyvenamojo namo Jaunimo g. 4, Klaipėda, savininkų bendrija",305202973,"Daugiabučio gyvenamojo namo Jaunimo g. 4, Klaipėda, savininkų bendrija",305202973,TAIP,6 metai 8 mėnesiai 21 diena,2019-07-02,"Artūras Žemaitis, pirmininkas","Jaunimo g. 4-19, LT-92355 Klaipėda",+370 601 22077,
"VšĮ ""Nepėsčias""",305202902,"Nepėsčias, VšĮ",305202902,TAIP,,2019-07-01,,"Partizanų g. 214-23, LT-50320 Kaunas",,
"Sporto - laisvalaikio asociacija ""Fenikso plunksna""",305202585,"Sporto-laisvalaikio asociacija ""Fenikso plunksna""",305202585,TAIP,6 metai 8 mėnesiai 22 dienos,2019-07-01,"Audrius Dumčius, pirmininkas","R. Juknevičiaus g. 72-11, Marijampolė",+370 686 19087,
